Name of Product,Is Accepted Policy,agree value,StemmedText
Eco-Friendly Bamboo Kitchen Utensil Set for Sustainable Cooking,Yes,1,eco-friendli bamboo kitchen utensil set for sustain cook
Modern Abstract Art Canvas Print for Contemporary Home Decor,Yes,1,modern abstract art canva print for contemporari home decor
Beginner-Friendly Acoustic Guitar with Online Lessons,Yes,1,beginner-friendli acoust guitar with onlin lesson
Luxury Facial Skincare Set for Radiant and Healthy Skin,Yes,1,luxuri facial skincar set for radiant and healthi skin
Durable Stainless Steel Water Bottle for Hydration on the Go,Yes,1,durabl stainless steel water bottl for hydrat on the go
Compact and Portable Espresso Maker for Coffee Enthusiasts,Yes,1,compact and portabl espresso maker for coffe enthusiast
Adventure-Ready Camping Hammock with Mosquito Net and Rainfly,Yes,1,adventure-readi camp hammock with mosquito net and rainfli
Protein-Rich Plant-Based Nutrition Shake for Active Lifestyles,Yes,1,protein-rich plant-bas nutrit shake for activ lifestyl
Top-Rated DSLR Camera with High-Resolution Image Sensor,Yes,1,top-rat dslr camera with high-resolut imag sensor
Classic Board Game Set for Family Game Nights,Yes,1,classic board game set for famili game night
Wireless Charging Pad for Convenient Device Charging,Yes,1,wireless charg pad for conveni devic charg
Gourmet Popcorn Sampler Pack for Movie Nights,No,0,gourmet popcorn sampler pack for movi night
Stylish and Functional Laptop Backpack for Daily Commutes,Yes,1,stylish and function laptop backpack for daili commut
Classic Mechanical Watch for Timeless Elegance,Yes,1,classic mechan watch for timeless eleg
Interactive Robotic Pet Toy for Entertainment and Companionship,Yes,1,interact robot pet toy for entertain and companionship
Indoor Herb Garden Kit for Fresh Homegrown Herbs,Yes,1,indoor herb garden kit for fresh homegrown herb
Versatile Resistance Bands Set for Home Workouts,Yes,1,versatil resist band set for home workout
Reusable Beeswax Food Wraps for Eco-Friendly Food Storage,Yes,1,reusabl beeswax food wrap for eco-friendli food storag
High-Performance Blender for Smoothies and Nutrient-Packed Drinks,Yes,1,high-perform blender for smoothi and nutrient-pack drink
Digital Drawing Tablet for Creative Artists,Yes,1,digit draw tablet for creativ artist
Educational STEM Building Blocks Set for Kids,Yes,1,educ stem build block set for kid
Classic French Press Coffee Maker for Rich Brews,Yes,1,classic french press coffe maker for rich brew
Outdoor Portable Bluetooth Speaker for Music on the Go,Yes,1,outdoor portabl bluetooth speaker for music on the go
Collapsible Silicone Food Containers for Space-Saving Storage,Yes,1,collaps silicon food contain for space-sav storag
Premium Quality Yoga Blocks for Enhanced Practice,Yes,1,premium qualiti yoga block for enhanc practic
Durable and Stylish Leather Wallet for Everyday Use,Yes,1,durabl and stylish leather wallet for everyday use
Smart LED Light Bulbs for Energy-Efficient Lighting,Yes,1,smart led light bulb for energy-effici light
Sleek and Functional Desk Organizer for Productivity,Yes,1,sleek and function desk organ for product
DIY Cross-Stitch Embroidery Kit for Creative Crafters,Yes,1,diy cross-stitch embroideri kit for creativ crafter
Portable Electric Air Pump for Inflatables and Outdoor Gear,Yes,1,portabl electr air pump for inflat and outdoor gear
Compact Travel Neck Pillow for Comfortable Journeys,Yes,1,compact travel neck pillow for comfort journey
Stainless Steel Insulated Tumbler for Hot and Cold Beverages,Yes,1,stainless steel insul tumbler for hot and cold beverag
Interactive Learning Tablet for Kids' Educational Fun,Yes,1,interact learn tablet for kid ' educ fun
Elegant Crystal Wine Glasses Set for Special Occasions,Yes,1,eleg crystal wine glass set for special occas
Essential Oil Diffuser for Aromatherapy and Relaxation,Yes,1,essenti oil diffus for aromatherapi and relax
Colorful Silicone Kitchen Utensils Set for Vibrant Cooking,Yes,1,color silicon kitchen utensil set for vibrant cook
Adjustable Laptop Stand for Ergonomic Computing,Yes,1,adjust laptop stand for ergonom comput
Wireless Charging Mouse Pad for Convenient Workstations,Yes,1,wireless charg mous pad for conveni workstat
Creative Writing Journal for Expressive Thoughts,Yes,1,creativ write journal for express thought
Premium Ice Cream Maker for Homemade Frozen Treats,Yes,1,premium ice cream maker for homemad frozen treat
Professional Makeup Brush Set for Flawless Application,Yes,1,profession makeup brush set for flawless applic
Compact Folding Bike for Urban Commuting,Yes,1,compact fold bike for urban commut
Gourmet Chocolate Fondue Set for Sweet Indulgences,Yes,1,gourmet chocol fondu set for sweet indulg
Wireless Noise-Canceling Earbuds for On-the-Go Listening,Yes,1,wireless noise-cancel earbud for on-the-go listen
Inflatable Stand-Up Paddle Board for Water Adventures,Yes,1,inflat stand-up paddl board for water adventur
Educational Puzzle Mat for Toddlers' Playtime,Yes,1,educ puzzl mat for toddler ' playtim
Stainless Steel French Door Refrigerator for Modern Kitchens,Yes,1,stainless steel french door refriger for modern kitchen
Aromatic Scented Candle Set for Relaxing Ambiance,Yes,1,aromat scent candl set for relax ambianc
Adjustable Dumbbell Set for Versatile Home Workouts,Yes,1,adjust dumbbel set for versatil home workout
Compact Portable Projector for Movie Nights at Home,Yes,1,compact portabl projector for movi night at home
Gaming Mouse with Programmable Buttons for Precision,Yes,1,game mous with programm button for precis
Rustic Wooden Floating Shelves for Stylish Storage,Yes,1,rustic wooden float shelv for stylish storag
Advanced Air Purifier for Cleaner Indoor Air,Yes,1,advanc air purifi for cleaner indoor air
Stylish and Functional Diaper Bag Backpack for Parents,Yes,1,stylish and function diaper bag backpack for parent
Collapsible Silicone Straws Set for Eco-Conscious Sipping,Yes,1,collaps silicon straw set for eco-consci sip
Professional Hair Dryer for Salon-Quality Results,Yes,1,profession hair dryer for salon-qu result
Portable External Hard Drive for Data Storage and Backup,Yes,1,portabl extern hard drive for data storag and backup
Modern LED Desk Lamp with Adjustable Brightness,Yes,1,modern led desk lamp with adjust bright
Organic Cotton Bed Sheets for Comfortable Sleep,Yes,1,organ cotton bed sheet for comfort sleep
Ergonomic Baby Carrier for Comfortable Travel with Infants,Yes,1,ergonom babi carrier for comfort travel with infant
Versatile Electric Multi-Cooker for Convenient Cooking,Yes,1,versatil electr multi-cook for conveni cook
Wireless Bluetooth Fitness Tracker for Health Monitoring,Yes,1,wireless bluetooth fit tracker for health monitor
Compact Folding Umbrella for On-the-Go Protection,Yes,1,compact fold umbrella for on-the-go protect
Premium Japanese Chef's Knife for Precision Cutting,Yes,1,premium japanes chef 's knife for precis cut
Reusable Mesh Produce Bags for Sustainable Shopping,Yes,1,reusabl mesh produc bag for sustain shop
Rugged Waterproof Bluetooth Speaker for Outdoor Adventures,Yes,1,rug waterproof bluetooth speaker for outdoor adventur
Collapsible Silicone Food Storage Containers for Easy Packing,Yes,1,collaps silicon food storag contain for easi pack
Compact Espresso Travel Mug for Coffee on the Move,Yes,1,compact espresso travel mug for coffe on the move
Stylish Minimalist Desk Clock for Timeless Decor,Yes,1,stylish minimalist desk clock for timeless decor
Explicit Content Board Game for Mature Audiences,No,0,explicit content board game for matur audienc
Intimate Bedroom Accessories Set for Adults Only,No,0,intim bedroom accessori set for adult onli
Graphic Violent Action Movie Marathon Collection,No,0,graphic violent action movi marathon collect
Dark and Explicit Crime Novel Series for Mature Readers,No,0,dark and explicit crime novel seri for matur reader
Provocative Adult Coloring Book for Mature Art Enthusiasts,No,0,provoc adult color book for matur art enthusiast
XXX-Rated Adult Movie Streaming Service Subscription,No,0,xxx-rate adult movi stream servic subscript
High-Powered Airsoft Gun for Intense Outdoor Battles,No,0,high-pow airsoft gun for intens outdoor battl
Inflammatory Hate Speech Board Game for Offensive Fun,No,0,inflammatori hate speech board game for offens fun
Illegal Substance and Drug Reference Puzzle Set,No,0,illeg substanc and drug refer puzzl set
Dangerous Explosive Fireworks Kit for Risky Celebrations,No,0,danger explos firework kit for riski celebr
Explicit Adult Card Game for Mature Players,No,0,explicit adult card game for matur player
Hardcore Survivalist Knife Set for Extreme Conditions,No,0,hardcor survivalist knife set for extrem condit
Graphic Drug Use Movie Marathon Collection,No,0,graphic drug use movi marathon collect
Loud and Offensive Ringtones App for Mature Audiences,No,0,loud and offens rington app for matur audienc
Raunchy Adult Joke Book for Inappropriate Humor,No,0,raunchi adult joke book for inappropri humor
Violent Video Game Collection with Intense Gameplay,No,0,violent video game collect with intens gameplay
Explicit Content Art Print for Bold Interior Decor,No,0,explicit content art print for bold interior decor
Controversial Political Board Game for Heated Discussions,No,0,controversi polit board game for heat discuss
Highly Offensive Offensive T-Shirt Collection for Mature Wearers,No,0,highli offens offens t-shirt collect for matur wearer
Adult Magazine Subscription for Explicit Content Lovers,No,0,adult magazin subscript for explicit content lover
Dangerous Firearm Replica for Collectors and Enthusiasts,No,0,danger firearm replica for collector and enthusiast
Illegal Substance Growing Kit for Risky Gardening,No,0,illeg substanc grow kit for riski garden
Explicit Adult Novelties Set for Grown-Up Pranks and Jokes,No,0,explicit adult novelti set for grown-up prank and joke
X-Rated Adult Entertainment Magazine Subscription,No,0,x-rate adult entertain magazin subscript
Controversial Political Satire Book for Edgy Readers,No,0,controversi polit satir book for edgi reader
Graphic Violent Crime Novel Series for Intense Thrills,No,0,graphic violent crime novel seri for intens thrill
Illegal Substance Cooking Kit for Daring Chefs,No,0,illeg substanc cook kit for dare chef
Dark and Explicit Adult Horror Movie Collection,No,0,dark and explicit adult horror movi collect
XXX-Rated Adult Party Game for Mature Celebrations,No,0,xxx-rate adult parti game for matur celebr
Raunchy Comedy Stand-Up DVD Collection for Mature Viewers,No,0,raunchi comedi stand-up dvd collect for matur viewer
Dangerous Explosive Pyrotechnics Kit for Risky Displays,No,0,danger explos pyrotechn kit for riski display
Inflammatory Hate Speech Podcast Series for Offensive Listening,No,0,inflammatori hate speech podcast seri for offens listen
Explicit Adult Poetry Book for Mature Literature Enthusiasts,No,0,explicit adult poetri book for matur literatur enthusiast
Graphic Drug Use Art Print for Bold Wall Decor,No,0,graphic drug use art print for bold wall decor
Hardcore Survivalist Gear Set for Extreme Outdoor Enthusiasts,No,0,hardcor survivalist gear set for extrem outdoor enthusiast
Intelligent Home Surveillance System with Facial Recognition,Yes,1,intellig home surveil system with facial recognit
Premium Noise-Canceling Bluetooth Earphones for Enhanced Music Experience,Yes,1,premium noise-cancel bluetooth earphon for enhanc music experi
Eco-Friendly Bamboo Kitchenware Set for Sustainable Cooking,Yes,1,eco-friendli bamboo kitchenwar set for sustain cook
Abstract Art Canvas Print for Modern Home Decor,Yes,1,abstract art canva print for modern home decor
Professional Acoustic Guitar with Online Learning Resources,Yes,1,profession acoust guitar with onlin learn resourc
Luxurious Facial Skincare Collection for Radiant Skin,Yes,1,luxuri facial skincar collect for radiant skin
Stainless Steel Vacuum-Insulated Water Bottle for Hydration,Yes,1,stainless steel vacuum-insul water bottl for hydrat
Portable Espresso Maker for Coffee Aficionados,Yes,1,portabl espresso maker for coffe aficionado
All-Season Camping Hammock with Mosquito Net and Rainfly,Yes,1,all-season camp hammock with mosquito net and rainfli
Vegan Protein-Rich Nutrition Shake for Active Lifestyles,Yes,1,vegan protein-rich nutrit shake for activ lifestyl
High-Resolution Mirrorless Camera for Photography Enthusiasts,Yes,1,high-resolut mirrorless camera for photographi enthusiast
Classic Board Game Set for Family Entertainment,Yes,1,classic board game set for famili entertain
Wireless Charging Stand for Convenient Device Charging,Yes,1,wireless charg stand for conveni devic charg
Gourmet Popcorn Assortment for Movie Enthusiasts,No,0,gourmet popcorn assort for movi enthusiast
Sleek Laptop Backpack for Stylish Daily Commutes,Yes,1,sleek laptop backpack for stylish daili commut
Sophisticated Mechanical Watch for Timepiece Connoisseurs,Yes,1,sophist mechan watch for timepiec connoisseur
Indoor Herb Garden Kit for Fresh Culinary Herbs,Yes,1,indoor herb garden kit for fresh culinari herb
Eco-Friendly Beeswax Food Wraps for Sustainable Food Storage,Yes,1,eco-friendli beeswax food wrap for sustain food storag
High-Powered Blender for Nutrient-Packed Smoothies,Yes,1,high-pow blender for nutrient-pack smoothi
Graphic Drawing Tablet for Digital Artists,Yes,1,graphic draw tablet for digit artist
French Press Coffee Maker for Rich Brews,Yes,1,french press coffe maker for rich brew
